id_operation,reference,libelle_operation,date_operation,date_comptable,montant,sens,type_operation,statut_operation,id_compte
82,OP000082,Briser.,2024-02-23,2024-02-23,859,CREDIT,virement,valide,1
83,OP000083,Soi où.,2024-02-21,2024-02-21,1510,CREDIT,retrait,valide,1
84,OP000084,Terreur coin.,2024-03-13,2024-03-13,1114,DEBIT,versement,valide,1
85,OP000085,Anglais.,2024-02-23,2024-02-23,1417,DEBIT,versement,en attente,1
86,OP000086,Coeur agir descendre fin.,2024-03-03,2024-03-03,668,DEBIT,retrait,valide,1
87,OP000087,Franchir.,2024-01-23,2024-01-23,1016,DEBIT,virement,valide,1
88,OP000088,Fort grain genre.,2024-01-30,2024-01-30,299,DEBIT,virement,valide,1
89,OP000089,Art.,2024-02-14,2024-02-14,1223,DEBIT,virement,valide,1
90,OP000090,Objet sortir.,2023-12-27,2023-12-27,966,CREDIT,virement,valide,1
91,OP000091,Beau tantôt.,2024-01-12,2024-01-12,878,DEBIT,versement,valide,1
92,OP000092,Riche affaire.,2024-01-10,2024-01-10,594,CREDIT,versement,valide,1
93,OP000093,Suite ce.,2024-01-11,2024-01-11,1776,CREDIT,virement,en attente,1
94,OP000094,Parvenir envie position.,2023-12-07,2023-12-07,353,CREDIT,retrait,en attente,1
95,OP000095,Impression l'une.,2023-12-03,2023-12-03,1258,CREDIT,virement,en attente,1
96,OP000096,Pénétrer complet.,2023-12-19,2023-12-19,1570,CREDIT,retrait,valide,1
97,OP000097,Rompre proposer selon.,2023-11-25,2023-11-25,1866,CREDIT,versement,valide,1
98,OP000098,Rêver début.,2023-10-27,2023-10-27,369,CREDIT,retrait,en attente,1
99,OP000099,Haine selon endormir.,2023-11-10,2023-11-10,938,CREDIT,retrait,en attente,1
100,OP000100,Ah mesure.,2023-11-17,2023-11-17,692,DEBIT,versement,en attente,1
101,OP000101,Retirer honte.,2023-11-13,2023-11-13,326,DEBIT,virement,valide,1
102,OP000102,Bande soleil principe.,2023-10-23,2023-10-23,1035,CREDIT,retrait,en attente,1
103,OP000103,Sourire sein.,2023-10-07,2023-10-07,1997,CREDIT,retrait,en attente,1
104,OP000104,Arriver garde aucun.,2023-10-10,2023-10-10,1322,DEBIT,retrait,valide,1
105,OP000105,Avec employer.,2023-10-16,2023-10-16,798,DEBIT,virement,en attente,1
106,OP000106,Souvenir plaine pas.,2023-10-11,2023-10-11,1589,CREDIT,versement,en attente,1
107,OP000107,Salut crier particulier.,2023-08-28,2023-08-28,764,DEBIT,versement,en attente,1
108,OP000108,Famille suivant exprimer.,2023-09-06,2023-09-06,1516,DEBIT,virement,en attente,1
109,OP000109,Quitter centre peser.,2023-09-18,2023-09-18,1897,CREDIT,versement,valide,1
110,OP000110,Dans recevoir.,2023-08-28,2023-08-28,1373,DEBIT,retrait,en attente,1
111,OP000111,Quant À fumer.,2023-08-29,2023-08-29,311,CREDIT,virement,valide,1
112,OP000112,Habitude éloigner.,2023-08-16,2023-08-16,1588,DEBIT,versement,en attente,1
113,OP000113,Briller.,2023-08-07,2023-08-07,1456,DEBIT,versement,valide,1
114,OP000114,Trésor rapide ouvert près.,2023-08-06,2023-08-06,349,CREDIT,retrait,en attente,1
115,OP000115,Surprendre calmer eh.,2023-07-02,2023-07-02,1358,CREDIT,versement,en attente,1
116,OP000116,Sang vision.,2023-06-26,2023-06-26,852,DEBIT,virement,en attente,1
117,OP000117,Sortir passé salle.,2023-06-23,2023-06-23,302,CREDIT,versement,valide,1
118,OP000118,Parfois véritable gris.,2023-06-26,2023-06-26,825,CREDIT,virement,valide,1
119,OP000119,Plaine goût quitter.,2023-06-23,2023-06-23,1017,DEBIT,virement,valide,1
120,OP000120,Pourtant.,2023-06-06,2023-06-06,1085,CREDIT,versement,en attente,1
121,OP000121,Barbe réalité répandre.,2023-05-27,2023-05-27,892,DEBIT,virement,en attente,1
122,OP000122,Droit prétendre résultat.,2023-06-14,2023-06-14,1451,DEBIT,virement,en attente,1
123,OP000123,Derrière réduire.,2023-06-14,2023-06-14,1039,DEBIT,retrait,valide,1
124,OP000124,Peine.,2023-06-14,2023-06-14,421,DEBIT,versement,valide,1
125,OP000125,Ouvrage lier.,2023-05-11,2023-05-11,1857,CREDIT,retrait,valide,1
126,OP000126,Agent précéder mari.,2023-04-22,2023-04-22,1313,DEBIT,virement,en attente,1
127,OP000127,Plaisir arrière.,2023-05-17,2023-05-17,783,DEBIT,retrait,valide,1
128,OP000128,Planche enfin divers.,2023-04-19,2023-04-19,1209,DEBIT,retrait,en attente,1
129,OP000129,Avec attacher oublier.,2023-03-29,2023-03-29,1567,DEBIT,virement,valide,1
130,OP000130,Pauvre brûler paquet répandre.,2023-04-11,2023-04-11,1549,DEBIT,versement,valide,1
131,OP000131,Rejoindre il passage.,2023-04-16,2023-04-16,442,DEBIT,retrait,en attente,1
132,OP000132,Environ résoudre.,2023-03-04,2023-03-04,1560,CREDIT,versement,en attente,1
133,OP000133,Caresser mari.,2023-03-09,2023-03-09,769,CREDIT,retrait,valide,1
134,OP000134,En vers nouveau.,2023-03-08,2023-03-08,1372,CREDIT,retrait,valide,1
135,OP000135,Doigt science.,2023-03-08,2023-03-08,1798,CREDIT,virement,valide,1
136,OP000136,Mémoire porter.,2023-01-23,2023-01-23,1440,CREDIT,versement,valide,1
137,OP000137,Plein attendre.,2023-02-19,2023-02-19,1242,DEBIT,versement,en attente,1
138,OP000138,Rendre public.,2023-01-28,2023-01-28,1548,DEBIT,retrait,en attente,1
139,OP000139,Bruit éviter.,2023-01-31,2023-01-31,1415,CREDIT,versement,en attente,1
140,OP000140,Peuple.,2023-01-13,2023-01-13,16,CREDIT,virement,en attente,1
141,OP000141,Lentement affirmer seul.,2022-12-23,2022-12-23,103,CREDIT,versement,en attente,1
142,OP000142,Naturellement serrer.,2023-01-12,2023-01-12,1252,CREDIT,retrait,valide,1
143,OP000143,Réalité parti.,2023-01-08,2023-01-08,886,CREDIT,versement,valide,1
144,OP000144,Crainte consentir papa souffrir.,2022-12-27,2022-12-27,798,CREDIT,versement,valide,1
145,OP000145,Air époque.,2025-12-15,2025-12-15,1791,DEBIT,virement,en attente,2
146,OP000146,Règle fait étoile.,2025-11-24,2025-11-24,188,CREDIT,versement,en attente,2
147,OP000147,Route souvent élever.,2025-12-14,2025-12-14,1845,CREDIT,virement,en attente,2
148,OP000148,Faute retirer puis.,2025-11-28,2025-11-28,1117,DEBIT,virement,valide,2
149,OP000149,Même dangereux vivant.,2025-12-14,2025-12-14,1552,DEBIT,virement,en attente,2
150,OP000150,Notre observer.,2025-11-19,2025-11-19,338,CREDIT,retrait,en attente,2
151,OP000151,Couvrir ami.,2025-11-12,2025-11-12,1482,CREDIT,versement,en attente,2
152,OP000152,Aventure matière loi.,2025-10-29,2025-10-29,262,DEBIT,versement,en attente,2
153,OP000153,Mémoire manger considérer.,2025-11-17,2025-11-17,1639,CREDIT,virement,valide,2
154,OP000154,Travers affirmer sentir.,2025-10-30,2025-10-30,712,CREDIT,versement,en attente,2
155,OP000155,Joie promettre sauter.,2025-09-29,2025-09-29,1617,CREDIT,virement,valide,2
156,OP000156,Occuper lune.,2025-10-11,2025-10-11,246,CREDIT,virement,valide,2
157,OP000157,User.,2025-10-17,2025-10-17,706,DEBIT,versement,valide,2
158,OP000158,Minute moi.,2025-10-01,2025-10-01,763,DEBIT,retrait,en attente,2
159,OP000159,Parmi noire refuser.,2025-10-01,2025-10-01,1519,DEBIT,retrait,valide,2
160,OP000160,Éclat rapporter partie.,2025-09-02,2025-09-02,398,CREDIT,retrait,en attente,2
161,OP000161,Parole.,2025-08-26,2025-08-26,757,DEBIT,versement,valide,2
162,OP000162,État gens.,2025-09-16,2025-09-16,819,DEBIT,versement,en attente,2
163,OP000163,Poésie fermer instinct.,2025-09-09,2025-09-09,306,CREDIT,virement,en attente,2
164,OP000164,Tendre honte.,2025-08-29,2025-08-29,943,DEBIT,versement,en attente,2
165,OP000165,Rien livrer exemple.,2025-07-27,2025-07-27,1372,DEBIT,versement,en attente,2
166,OP000166,Saint art nation.,2025-08-10,2025-08-10,1038,DEBIT,retrait,en attente,2
167,OP000167,Tout.,2025-07-30,2025-07-30,1707,DEBIT,retrait,en attente,2
168,OP000168,Angoisse état.,2025-07-07,2025-07-07,130,CREDIT,virement,valide,2
169,OP000169,Après fou.,2025-06-22,2025-06-22,1510,DEBIT,versement,valide,2
170,OP000170,Temps souvenir visible craindre.,2025-06-22,2025-06-22,1599,DEBIT,retrait,en attente,2
171,OP000171,Soutenir.,2025-07-10,2025-07-10,1679,DEBIT,virement,en attente,2
172,OP000172,Saluer théâtre dessus.,2025-07-09,2025-07-09,875,CREDIT,retrait,en attente,2
173,OP000173,Content commander chemise.,2025-06-17,2025-06-17,1091,CREDIT,retrait,valide,2
174,OP000174,Rester saison rencontrer admettre.,2025-05-28,2025-05-28,1763,CREDIT,virement,valide,2
175,OP000175,Demain bon joli.,2025-06-09,2025-06-09,1550,DEBIT,versement,en attente,2
176,OP000176,Penser race à.,2025-06-05,2025-06-05,1350,DEBIT,versement,valide,2
177,OP000177,Conduire rassurer.,2025-04-27,2025-04-27,998,CREDIT,virement,valide,2
178,OP000178,Juge condamner point.,2025-05-13,2025-05-13,1657,DEBIT,versement,valide,2
179,OP000179,Puissant ouvrage.,2025-05-08,2025-05-08,1496,DEBIT,versement,valide,2
180,OP000180,Détail cela habiller violence.,2025-05-07,2025-05-07,1956,CREDIT,versement,valide,2
181,OP000181,Garder geste joindre.,2025-04-16,2025-04-16,738,CREDIT,virement,valide,2
182,OP000182,Politique.,2025-04-16,2025-04-16,1065,CREDIT,versement,en attente,2
183,OP000183,Dangereux confondre état.,2025-04-15,2025-04-15,1294,CREDIT,virement,valide,2
184,OP000184,Chaîne précis air.,2025-03-12,2025-03-12,822,CREDIT,retrait,valide,2
185,OP000185,Briller politique.,2025-02-27,2025-02-27,1536,CREDIT,versement,valide,2
186,OP000186,Achever accent.,2025-02-23,2025-02-23,959,CREDIT,retrait,en attente,2
187,OP000187,Avis soir danser.,2025-02-19,2025-02-19,255,DEBIT,virement,valide,2
188,OP000188,Époque voisin.,2025-02-04,2025-02-04,1323,DEBIT,virement,en attente,2
189,OP000189,Banc.,2025-02-11,2025-02-11,1430,DEBIT,versement,valide,2
190,OP000190,Écraser rien fille.,2025-02-07,2025-02-07,1001,CREDIT,retrait,valide,2
191,OP000191,Prêt distance tu.,2025-01-09,2025-01-09,140,DEBIT,retrait,valide,2
192,OP000192,Fête révéler chemin.,2025-01-07,2025-01-07,1148,CREDIT,virement,valide,2
193,OP000193,Billet justice.,2024-12-26,2024-12-26,1552,DEBIT,versement,valide,2
194,OP000194,Certainement vol.,2024-11-22,2024-11-22,1236,DEBIT,virement,en attente,2
195,OP000195,Seconde détacher douze.,2024-11-24,2024-11-24,653,DEBIT,virement,valide,2
196,OP000196,Apercevoir arme.,2024-12-01,2024-12-01,432,DEBIT,virement,en attente,2
197,OP000197,Attendre il pauvre.,2024-11-17,2024-11-17,265,CREDIT,retrait,valide,2
198,OP000198,Te maladie sous.,2024-11-06,2024-11-06,1945,DEBIT,virement,en attente,2
199,OP000199,Autre causer.,2024-11-18,2024-11-18,1947,CREDIT,versement,en attente,2
200,OP000200,Apparence important.,2024-10-01,2024-10-01,1014,CREDIT,versement,en attente,2
201,OP000201,Ajouter petit intérieur robe.,2024-09-30,2024-09-30,1112,DEBIT,versement,valide,2
202,OP000202,Problème prononcer permettre.,2024-09-28,2024-09-28,1688,DEBIT,virement,valide,2
203,OP000203,Attendre étendue foi.,2024-09-15,2024-09-15,623,DEBIT,virement,valide,2
204,OP000204,Pas poche quatre.,2024-09-01,2024-09-01,745,CREDIT,virement,en attente,2
205,OP000205,Parfois il façon.,2024-09-17,2024-09-17,1136,CREDIT,retrait,en attente,2
206,OP000206,Aider debout public fort.,2024-08-14,2024-08-14,829,CREDIT,virement,en attente,2
207,OP000207,Sombre ensuite nom.,2024-07-29,2024-07-29,881,DEBIT,versement,valide,2
208,OP000208,Regarder tout.,2024-08-17,2024-08-17,1299,CREDIT,versement,valide,2
209,OP000209,Scène aide.,2024-07-28,2024-07-28,772,DEBIT,retrait,valide,2
210,OP000210,Réclamer prière nerveux paraître.,2024-08-09,2024-08-09,1623,CREDIT,retrait,valide,2
211,OP000211,Malgré matin si.,2024-07-12,2024-07-12,168,CREDIT,virement,valide,2
212,OP000212,Clef rejoindre marquer.,2024-06-28,2024-06-28,1133,CREDIT,virement,en attente,2
213,OP000213,Enfoncer croiser.,2024-06-29,2024-06-29,192,CREDIT,retrait,en attente,2
214,OP000214,Sou air.,2024-07-15,2024-07-15,1789,DEBIT,retrait,valide,2
215,OP000215,Rouge compagnon représenter sérieux.,2024-07-16,2024-07-16,782,DEBIT,retrait,valide,2
216,OP000216,Anglais.,2024-06-14,2024-06-14,1088,CREDIT,versement,en attente,2
217,OP000217,Fonction règle.,2024-06-16,2024-06-16,1093,CREDIT,versement,en attente,2
218,OP000218,Essuyer honneur cour.,2024-06-02,2024-06-02,565,DEBIT,virement,valide,2
219,OP000219,Habitant écarter prétendre troubler.,2024-04-25,2024-04-25,807,DEBIT,retrait,en attente,2
220,OP000220,Malgré état.,2024-05-04,2024-05-04,1223,DEBIT,retrait,valide,2
221,OP000221,Intérieur rouler.,2024-04-28,2024-04-28,1061,DEBIT,versement,valide,2
222,OP000222,Arriver semblable.,2024-05-15,2024-05-15,785,CREDIT,virement,en attente,2
223,OP000223,Livre beau rêve.,2024-03-26,2024-03-26,520,CREDIT,versement,en attente,2
224,OP000224,Vision vague.,2024-04-14,2024-04-14,908,CREDIT,retrait,en attente,2
225,OP000225,Soir membre.,2024-04-11,2024-04-11,1960,CREDIT,versement,valide,2
226,OP000226,Expression.,2024-04-10,2024-04-10,1311,DEBIT,retrait,en attente,2
227,OP000227,Trace semblable parvenir.,2024-03-26,2024-03-26,650,DEBIT,versement,valide,2
228,OP000228,Raconter.,2024-02-25,2024-02-25,501,DEBIT,virement,valide,2
229,OP000229,Prévenir souhaiter avenir.,2024-03-17,2024-03-17,1532,CREDIT,versement,en attente,2
230,OP000230,Relation lien.,2024-02-23,2024-02-23,1800,DEBIT,retrait,valide,2
231,OP000231,Émotion souffrir.,2024-02-04,2024-02-04,1064,DEBIT,retrait,valide,2
232,OP000232,Former énorme.,2024-01-31,2024-01-31,399,DEBIT,versement,en attente,2
233,OP000233,Toile cent bois.,2024-01-28,2024-01-28,1104,CREDIT,virement,valide,2
234,OP000234,Briser franchir bras.,2024-01-31,2024-01-31,928,DEBIT,versement,valide,2
235,OP000235,Manier bien vivant.,2024-01-17,2024-01-17,761,DEBIT,versement,en attente,2
236,OP000236,Y système vieux.,2024-01-18,2024-01-18,875,CREDIT,retrait,valide,2
237,OP000237,Cercle espèce tout.,2024-01-08,2024-01-08,1996,DEBIT,retrait,valide,2
238,OP000238,Cour perdre calmer.,2023-11-22,2023-11-22,1579,DEBIT,retrait,en attente,2
239,OP000239,Partager.,2023-12-04,2023-12-04,611,CREDIT,virement,valide,2
240,OP000240,Mettre.,2023-11-26,2023-11-26,1302,CREDIT,virement,en attente,2
241,OP000241,Fumée pauvre dont.,2023-11-29,2023-11-29,1065,DEBIT,retrait,en attente,2
242,OP000242,Bon interrompre.,2023-12-18,2023-12-18,738,DEBIT,versement,en attente,2
243,OP000243,Étranger officier.,2023-11-10,2023-11-10,734,DEBIT,virement,en attente,2
244,OP000244,Grand monter.,2023-10-27,2023-10-27,391,CREDIT,retrait,valide,2
245,OP000245,Partir éclairer.,2023-11-16,2023-11-16,892,CREDIT,virement,valide,2
246,OP000246,Été ennemi.,2023-11-03,2023-11-03,1063,DEBIT,retrait,valide,2
247,OP000247,Ton masse se.,2023-10-19,2023-10-19,328,CREDIT,virement,en attente,2
248,OP000248,Principe rocher danser.,2023-10-07,2023-10-07,776,CREDIT,retrait,en attente,2
249,OP000249,Faveur fixer système.,2023-10-14,2023-10-14,1108,CREDIT,virement,en attente,2
250,OP000250,Enfermer.,2023-09-28,2023-09-28,1729,CREDIT,virement,valide,2
251,OP000251,Vieux pendre.,2023-08-27,2023-08-27,898,DEBIT,retrait,valide,2
252,OP000252,Quartier amour discussion.,2023-09-16,2023-09-16,398,CREDIT,virement,valide,2
253,OP000253,Situation.,2023-09-07,2023-09-07,872,CREDIT,virement,valide,2
254,OP000254,Prêter vers poésie.,2023-08-29,2023-08-29,417,CREDIT,versement,en attente,2
255,OP000255,Être voyage.,2023-08-06,2023-08-06,1011,CREDIT,versement,valide,2
256,OP000256,Pain tromper.,2023-08-09,2023-08-09,1548,CREDIT,versement,en attente,2
257,OP000257,Quant À changer assister employer.,2023-08-15,2023-08-15,234,DEBIT,virement,valide,2
258,OP000258,Cheval printemps genou.,2023-07-08,2023-07-08,1034,DEBIT,versement,valide,2
259,OP000259,Expression vérité.,2023-07-18,2023-07-18,1399,CREDIT,retrait,valide,2
260,OP000260,Village étendre politique silence.,2023-07-06,2023-07-06,993,CREDIT,retrait,en attente,2
261,OP000261,Rêver lire.,2023-05-26,2023-05-26,888,DEBIT,versement,valide,2
262,OP000262,Beauté cela.,2023-05-27,2023-05-27,1057,DEBIT,virement,en attente,2
263,OP000263,Police tel remercier habiter.,2023-05-26,2023-05-26,245,CREDIT,versement,valide,2
264,OP000264,Puissant loi entendre.,2023-04-23,2023-04-23,888,DEBIT,retrait,valide,2
265,OP000265,Former peuple respecter.,2023-04-27,2023-04-27,1505,DEBIT,virement,valide,2
266,OP000266,Allumer tout.,2023-05-12,2023-05-12,256,DEBIT,retrait,valide,2
267,OP000267,Assister trembler passage.,2023-05-11,2023-05-11,403,DEBIT,retrait,valide,2
268,OP000268,Direction couleur.,2023-04-30,2023-04-30,418,DEBIT,virement,en attente,2
269,OP000269,Cours désormais habitude.,2023-04-03,2023-04-03,637,DEBIT,virement,en attente,2
270,OP000270,Pour toute.,2023-04-06,2023-04-06,991,DEBIT,versement,en attente,2
271,OP000271,Heure parfaitement rassurer.,2023-03-30,2023-03-30,115,CREDIT,virement,en attente,2
272,OP000272,Droite chasse.,2023-04-08,2023-04-08,584,CREDIT,versement,en attente,2
273,OP000273,Bien gouvernement.,2023-03-09,2023-03-09,1843,DEBIT,virement,valide,2
274,OP000274,Charger réussir justice.,2023-03-19,2023-03-19,116,CREDIT,virement,en attente,2
275,OP000275,Déposer oui.,2023-03-04,2023-03-04,583,DEBIT,retrait,valide,2
276,OP000276,Lever certain.,2023-02-04,2023-02-04,754,CREDIT,retrait,valide,2
277,OP000277,Changement maladie.,2023-02-16,2023-02-16,1380,DEBIT,versement,valide,2
278,OP000278,Main ainsi.,2023-02-09,2023-02-09,748,CREDIT,versement,en attente,2
279,OP000279,Nerveux espoir.,2023-02-12,2023-02-12,1341,CREDIT,virement,en attente,2
280,OP000280,Plante ministre nom.,2023-01-16,2023-01-16,277,DEBIT,virement,valide,2
281,OP000281,Énergie discussion résister.,2023-01-13,2023-01-13,1453,CREDIT,virement,valide,2
282,OP000282,Changement jardin course.,2023-01-02,2023-01-02,1277,CREDIT,retrait,en attente,2
283,OP000283,Situation considérer.,2025-12-02,2025-12-02,1486,DEBIT,virement,valide,3
284,OP000284,Billet plan type.,2025-12-13,2025-12-13,866,CREDIT,versement,en attente,3
285,OP000285,Temps fond franc.,2025-12-08,2025-12-08,928,DEBIT,retrait,valide,3
286,OP000286,Accomplir retomber.,2025-11-06,2025-11-06,1082,DEBIT,virement,en attente,3
287,OP000287,Hésiter soit détacher tirer.,2025-10-28,2025-10-28,1991,DEBIT,retrait,valide,3
288,OP000288,Grâce prier service.,2025-11-01,2025-11-01,134,DEBIT,versement,en attente,3
289,OP000289,Embrasser sentier.,2025-11-04,2025-11-04,1412,DEBIT,virement,en attente,3
290,OP000290,Lumière éprouver reconnaître.,2025-10-07,2025-10-07,1161,CREDIT,retrait,en attente,3
291,OP000291,Nord auprès fatigue.,2025-10-13,2025-10-13,386,DEBIT,virement,valide,3
