id_client,id_compte,role_client,date_debut,date_fin
16,61,titulaire,2025-03-31,2026-08-16
23,62,titulaire,2021-09-14,2023-12-13
92,62,cotitulaire,2024-07-09,2027-06-07
91,63,cotitulaire,2025-10-22,2028-05-07
9,63,titulaire,2022-12-11,2024-10-13
47,64,titulaire,2021-03-17,2023-08-19
26,65,titulaire,2022-06-16,2023-11-05
4,66,cotitulaire,2025-01-24,2027-08-14
47,66,titulaire,2021-10-31,2024-02-21
9,67,cotitulaire,2025-09-22,2027-08-04
68,68,titulaire,2025-03-28,2027-05-21
53,68,cotitulaire,2023-09-29,2025-02-03
58,69,cotitulaire,2023-09-19,2026-01-08
100,70,titulaire,2021-06-09,2023-12-25
56,71,titulaire,2021-06-22,2023-11-18
67,72,cotitulaire,2024-12-07,2026-05-12
21,73,titulaire,2021-07-27,2023-06-22
67,74,cotitulaire,2021-04-09,2022-06-28
37,74,cotitulaire,2024-11-13,2026-06-02
81,75,titulaire,2022-01-28,2023-12-04
76,76,titulaire,2021-12-14,2024-07-30
85,77,cotitulaire,2022-12-19,2025-09-18
4,78,titulaire,2024-05-24,2025-08-15
84,79,cotitulaire,2025-08-26,2028-04-02
27,79,titulaire,2021-05-20,2024-02-11
81,80,cotitulaire,2023-11-23,2025-09-14
70,80,titulaire,2025-07-21,2027-11-27
39,81,titulaire,2021-05-04,2022-07-17
59,81,cotitulaire,2025-12-13,2027-05-23
62,82,cotitulaire,2021-12-14,2023-07-10
60,82,titulaire,2024-03-12,2026-11-23
92,83,cotitulaire,2025-01-04,2026-12-23
41,83,cotitulaire,2021-06-04,2022-10-15
41,84,cotitulaire,2025-03-14,2026-11-16
35,85,titulaire,2025-01-03,2027-04-08
13,86,cotitulaire,2021-07-29,2022-09-18
79,87,titulaire,2025-09-04,2027-05-16
54,87,cotitulaire,2021-03-20,2023-02-18
98,88,cotitulaire,2025-08-02,2027-01-12
64,89,titulaire,2023-02-17,2025-07-10
40,89,cotitulaire,2024-08-02,2025-11-02
31,90,cotitulaire,2023-06-12,2026-01-29
28,90,titulaire,2022-11-17,2024-01-05
64,91,cotitulaire,2023-02-05,2025-12-05
77,91,titulaire,2022-09-25,2024-07-13
56,92,cotitulaire,2025-07-04,2026-11-18
98,93,titulaire,2022-05-04,2024-05-12
52,93,titulaire,2023-03-12,2025-04-25
47,94,cotitulaire,2021-09-15,2024-04-03
50,95,cotitulaire,2024-01-13,2026-06-12
80,96,titulaire,2024-01-19,2026-10-05
88,96,titulaire,2024-03-14,2025-07-23
48,97,cotitulaire,2023-06-17,2026-01-08
44,97,titulaire,2025-05-18,2026-10-12
65,98,titulaire,2023-05-12,2024-06-26
6,98,cotitulaire,2021-05-27,2022-10-14
67,99,titulaire,2022-11-17,2024-04-17
59,99,cotitulaire,2023-01-22,2024-12-22
51,100,cotitulaire,2024-03-06,2026-11-27
65,101,cotitulaire,2024-12-13,2027-06-11
66,101,cotitulaire,2022-03-18,2025-03-12
3,102,titulaire,2025-12-08,2027-11-12
48,102,cotitulaire,2023-09-07,2025-11-06
77,103,cotitulaire,2021-01-22,2023-05-22
93,104,cotitulaire,2022-11-16,2024-01-07
68,105,cotitulaire,2024-07-13,2027-04-18
88,106,titulaire,2023-05-13,2025-01-15
25,107,cotitulaire,2024-11-14,2025-12-03
54,108,titulaire,2022-09-07,2024-11-02
20,108,cotitulaire,2023-10-17,2025-12-10
91,109,titulaire,2022-07-28,2023-12-16
85,110,cotitulaire,2022-04-26,2024-10-15
62,110,titulaire,2021-02-03,2022-12-21
69,111,cotitulaire,2023-12-13,2026-06-24
44,111,cotitulaire,2021-02-09,2024-01-02
25,112,cotitulaire,2025-01-07,2026-10-19
32,112,cotitulaire,2022-05-15,2023-12-31
91,113,cotitulaire,2025-01-03,2027-12-10
27,113,cotitulaire,2023-04-28,2025-03-17
72,114,cotitulaire,2022-10-02,2024-07-08
93,114,cotitulaire,2023-11-19,2025-03-22
45,115,cotitulaire,2022-02-16,2023-07-15
99,115,cotitulaire,2021-10-05,2022-11-17
45,116,cotitulaire,2022-03-15,2024-06-09
28,117,cotitulaire,2022-03-03,2024-09-04
26,117,cotitulaire,2023-08-20,2026-03-17
14,118,titulaire,2024-12-02,2027-08-24
7,119,titulaire,2024-08-25,2027-07-11
7,120,cotitulaire,2024-10-13,2026-01-23
